Fallacy,Description
Adhominem,Attacks on the character or personal traits of the person making an argument rather than addressing the actual argument and evidence.
Adpopulum,"The fallacy that something must be true or correct simply because many people believe it or do it, without actual facts or evidence to support."
Appeal to Emotion,An attempt to win support for an argument by exploiting or manipulating people's emotions rather than using facts and reason.
Fallacy of Extension,"Making broad, sweeping generalizations and extending the implications of an argument far beyond what the initial premises support."
Intentional Fallacy,Falsely supporting a conclusion by claiming to understand an author or creator's subconscious intentions without clear evidence.
False Causality,Jumping to conclusions about causation between events or circumstances without adequate evidence to infer a causal relationship.
False Dilemma,Presenting only two possible options or sides to a situation when there are clearly other alternatives that have not been considered or addressed.
Hasty Generalization,"Making a broad inference or generalization to situations, people, or circumstances that are not sufficiently similar based on a specific example or limited evidence."
Illogical Arrangement,"Constructing an argument in a flawed, illogical way, so the premises do not connect to or lead to the conclusion properly."
Fallacy of Credibility,Dismissing or attacking the credibility of the person making an argument rather than directly addressing the argument itself.
Circular Reasoning,Supporting a premise by simply repeating the premise as the conclusion without giving actual proof or evidence.
Begging the Question,Restating the conclusion of an argument as a premise without providing actual support for the conclusion in the first place.
Trick Question,Asking a question that contains or assumes information that has not been proven or substantiated.
Overapplying,Applying a general rule or generalization to a specific case it was not meant to apply to.
Equivocation,Using the same word or phrase in two different senses or contexts within an argument.
Amphiboly,"Constructing sentences such that the grammar or structure is ambiguous, leading to multiple interpretations."
Word Emphasis,Shifting the emphasis of a word or phrase to give it a different meaning than intended.
Composition,Erroneously inferring that something is true of the whole based on the fact that it is true of some part or parts.
Division,Erroneously inferring that something is true of the parts based on the fact that it is true of the whole.
